time	V(N004,N003)
1.650536819319026e-003	3.783837e-001
1.654781211135978e-003	-4.819060e-001
1.659041293322830e-003	-1.301308e+000
1.664682632786084e-003	-2.248101e+000
1.668663988731052e-003	-2.788343e+000
1.670766372517601e-003	-3.004012e+000
1.672332232974223e-003	-3.121794e+000
1.674123702513921e-003	-3.214791e+000
1.676174018314025e-003	-3.271274e+000
1.678411006978368e-003	-3.262842e+000
1.682037836247393e-003	-3.104157e+000
1.686745738869564e-003	-2.667622e+000
1.692952973476286e-003	-1.782626e+000
1.698462699447175e-003	-7.881342e-001
1.702848965505412e-003	8.999231e-002
1.707304638276325e-003	9.775291e-001
1.712076209791223e-003	1.831108e+000
1.717647730357138e-003	2.661430e+000
1.720023277942068e-003	2.935425e+000
1.721774871305934e-003	3.083222e+000
1.723449571433429e-003	3.185370e+000
1.725281689203535e-003	3.256925e+000
1.726958670509589e-003	3.279701e+000
1.729686235329734e-003	3.223425e+000
1.734088321693239e-003	2.939447e+000
1.739515242584136e-003	2.308909e+000
1.745847306049553e-003	1.280033e+000
1.750536843684849e-003	3.783788e-001
1.754781234779108e-003	-4.819107e-001
1.759041315980113e-003	-1.301312e+000
1.764682664833140e-003	-2.248106e+000
1.768663999948521e-003	-2.788345e+000
1.770766380774476e-003	-3.004013e+000
1.772332239188230e-003	-3.121795e+000
1.774123710064592e-003	-3.214792e+000
1.776174021127659e-003	-3.271273e+000
1.778411011555053e-003	-3.262842e+000
1.782037843633904e-003	-3.104156e+000
1.786745745647835e-003	-2.667621e+000
1.792952982644239e-003	-1.782625e+000
1.798462704285992e-003	-7.881332e-001
1.802848969450883e-003	8.999309e-002
1.807304641209717e-003	9.775297e-001
1.812076214946587e-003	1.831109e+000
1.817647732827143e-003	2.661430e+000
1.820023279735640e-003	2.935425e+000
1.821774872646453e-003	3.083222e+000
1.823449573046855e-003	3.185370e+000
1.825281692068256e-003	3.256926e+000
1.826958675173986e-003	3.279702e+000
1.829686242902692e-003	3.223425e+000
1.834088333819649e-003	2.939446e+000
1.839515257942817e-003	2.308907e+000
1.845847322191200e-003	1.280030e+000
1.850536858186230e-003	3.783759e-001
1.854781248850377e-003	-4.819136e-001
1.859041329464651e-003	-1.301315e+000
1.864682683906024e-003	-2.248109e+000
1.868664006624619e-003	-2.788345e+000
1.870766385688572e-003	-3.004014e+000
1.872332242886509e-003	-3.121795e+000
1.874123714558390e-003	-3.214792e+000
1.876174022802199e-003	-3.271273e+000
1.878411014278876e-003	-3.262841e+000
1.882037848030000e-003	-3.104156e+000
1.886745749681987e-003	-2.667621e+000
1.892952988100581e-003	-1.782624e+000
1.898462707165826e-003	-7.881327e-001
1.902848971799041e-003	8.999357e-002
1.907304642955533e-003	9.775301e-001
1.912076218014814e-003	1.831109e+000
1.917647734297169e-003	2.661430e+000
1.920023280803086e-003	2.935425e+000
1.921774873444264e-003	3.083222e+000
1.923449574007087e-003	3.185370e+000
1.925281693773198e-003	3.256926e+000
1.926958677950007e-003	3.279702e+000
1.929686247409747e-003	3.223425e+000
1.934088341036696e-003	2.939445e+000
1.939515267083534e-003	2.308905e+000
1.945847331797889e-003	1.280028e+000
1.950536866816713e-003	3.783742e-001
1.954781257224878e-003	-4.819153e-001
1.959041337489960e-003	-1.301316e+000
1.964682695257230e-003	-2.248111e+000
1.968664010597890e-003	-2.788346e+000
1.970766388613190e-003	-3.004014e+000
1.972332245087535e-003	-3.121795e+000
1.974123717232868e-003	-3.214792e+000
1.976174023798800e-003	-3.271274e+000
1.978411015899956e-003	-3.262842e+000
1.982037850646331e-003	-3.104156e+000
1.986745752082927e-003	-2.667620e+000
1.992952991347948e-003	-1.782623e+000
1.998462708879788e-003	-7.881323e-001
2.002848973196576e-003	8.999386e-002
2.007304643994584e-003	9.775302e-001
2.012076219840912e-003	1.831109e+000
2.017647735172073e-003	2.661430e+000
2.020023281438390e-003	2.935425e+000
2.021774873919091e-003	3.083222e+000
2.023449574578581e-003	3.185370e+000
2.025281694787916e-003	3.256926e+000
2.026958679602191e-003	3.279701e+000
2.029686250092178e-003	3.223425e+000
2.034088345332012e-003	2.939444e+000
2.039515272523774e-003	2.308905e+000
2.045847337515460e-003	1.280027e+000
2.050536871953282e-003	3.783731e-001
2.054781262209099e-003	-4.819163e-001
2.059041342266356e-003	-1.301317e+000
2.064682702013086e-003	-2.248112e+000
2.068664012962647e-003	-2.788346e+000
2.070766390353823e-003	-3.004014e+000
2.072332246397512e-003	-3.121795e+000
2.074123718824628e-003	-3.214792e+000
2.076174024391943e-003	-3.271274e+000
2.078411016864768e-003	-3.262842e+000
2.082037852203483e-003	-3.104156e+000
2.086745753511846e-003	-2.667620e+000
2.092952993280642e-003	-1.782623e+000
2.098462709899860e-003	-7.881322e-001
2.102848974028321e-003	8.999404e-002
2.107304644612972e-003	9.775304e-001
2.112076220927716e-003	1.831110e+000
2.117647735692779e-003	2.661430e+000
2.120023281816496e-003	2.935425e+000
2.121774874201688e-003	3.083222e+000
2.123449574918710e-003	3.185370e+000
2.125281695391833e-003	3.256926e+000
2.126958680585501e-003	3.279702e+000
2.129686251688646e-003	3.223425e+000
2.134088347888401e-003	2.939444e+000
2.139515275761544e-003	2.308904e+000
2.145847340918302e-003	1.280026e+000
2.150536875010338e-003	3.783725e-001
2.154781265175480e-003	-4.819169e-001
2.159041345109047e-003	-1.301317e+000
2.164682706033864e-003	-2.248112e+000
2.168664014370042e-003	-2.788346e+000
2.170766391389769e-003	-3.004014e+000
2.172332247177150e-003	-3.121795e+000
2.174123719771970e-003	-3.214792e+000
2.176174024744954e-003	-3.271274e+000
2.178411017438980e-003	-3.262842e+000
2.182037853130229e-003	-3.104156e+000
2.186745754362284e-003	-2.667620e+000
2.192952994430904e-003	-1.782623e+000
2.198462710506972e-003	-7.881320e-001
2.202848974523352e-003	8.999410e-002
2.207304644981024e-003	9.775304e-001
2.212076221574548e-003	1.831110e+000
2.217647736002678e-003	2.661431e+000
2.220023282041527e-003	2.935425e+000
2.221774874369876e-003	3.083222e+000
2.223449575121138e-003	3.185370e+000
2.225281695751253e-003	3.256926e+000
2.226958681170716e-003	3.279702e+000
2.229686252638782e-003	3.223425e+000
2.234088349409833e-003	2.939444e+000
2.239515277688503e-003	2.308904e+000
2.245847342943504e-003	1.280026e+000
2.250536876829747e-003	3.783721e-001
2.254781266940926e-003	-4.819172e-001
2.259041346800879e-003	-1.301318e+000
2.264682708426837e-003	-2.248113e+000
2.268664015207658e-003	-2.788346e+000
2.270766392006315e-003	-3.004014e+000
2.272332247641154e-003	-3.121795e+000
2.274123720335784e-003	-3.214792e+000
2.276174024955050e-003	-3.271274e+000
2.278411017780725e-003	-3.262841e+000
2.282037853681785e-003	-3.104156e+000
2.286745754868453e-003	-2.667620e+000
2.292952995115505e-003	-1.782623e+000
2.298462710868305e-003	-7.881320e-001
2.302848974817975e-003	8.999416e-002
2.307304645200073e-003	9.775305e-001
2.312076221959519e-003	1.831110e+000
2.317647736187122e-003	2.661430e+000
2.320023282175458e-003	2.935425e+000
2.321774874469977e-003	3.083222e+000
2.323449575241618e-003	3.185370e+000
2.325281695965173e-003	3.256926e+000
2.326958681519025e-003	3.279702e+000
2.329686253204285e-003	3.223425e+000
2.334088350315361e-003	2.939444e+000
2.339515278835421e-003	2.308904e+000
2.345847344148860e-003	1.280026e+000
2.350536877912614e-003	3.783719e-001
2.354781267991676e-003	-4.819174e-001
2.359041347807819e-003	-1.301318e+000
2.364682709851067e-003	-2.248113e+000
2.368664015706176e-003	-2.788346e+000
2.370766392373261e-003	-3.004014e+000
2.372332247917313e-003	-3.121795e+000
2.374123720671346e-003	-3.214792e+000
2.376174025080092e-003	-3.271274e+000
2.378411017984118e-003	-3.262841e+000
2.382037854010051e-003	-3.104155e+000
2.386745755169693e-003	-2.667620e+000
2.392952995522921e-003	-1.782623e+000
2.398462711083325e-003	-7.881320e-001
2.402848974993294e-003	8.999422e-002
2.407304645330414e-003	9.775305e-001
2.412076222188597e-003	1.831110e+000
2.417647736296878e-003	2.661430e+000
2.420023282255157e-003	2.935425e+000
2.421774874529544e-003	3.083222e+000
2.423449575313312e-003	3.185370e+000
2.425281696092468e-003	3.256926e+000
2.426958681726289e-003	3.279702e+000
2.429686253540792e-003	3.223425e+000
2.434088350854201e-003	2.939444e+000
2.439515279517900e-003	2.308904e+000
2.445847344866125e-003	1.280026e+000
2.450536878556993e-003	3.783718e-001
2.454781268616943e-003	-4.819175e-001
2.459041348407015e-003	-1.301318e+000
2.464682710698587e-003	-2.248113e+000
2.468664016002836e-003	-2.788347e+000
2.470766392591624e-003	-3.004014e+000
2.472332248081650e-003	-3.121795e+000
2.474123720871033e-003	-3.214792e+000
2.476174025154502e-003	-3.271274e+000
2.478411018105155e-003	-3.262841e+000
2.482037854205397e-003	-3.104155e+000
2.486745755348974e-003	-2.667620e+000
2.492952995765406e-003	-1.782623e+000
2.498462711211314e-003	-7.881319e-001
2.502848975097657e-003	8.999422e-002
